"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","1991",42309.381475963,
"AUS","AVWAGE","TOT","USD","A","1992",43173.7713335452,
"AUS","AVWAGE","TOT","USD","A","1993",43578.2414216826,
"AUS","AVWAGE","TOT","USD","A","1994",43873.8569453328,
"AUS","AVWAGE","TOT","USD","A","1995",43715,
"AUS","AVWAGE","TOT","USD","A","1996",44976.27559367,
"AUS","AVWAGE","TOT","USD","A","1997",46355.5550944577,
"AUS","AVWAGE","TOT","USD","A","1998",46999.635104298,
"AUS","AVWAGE","TOT","USD","A","1999",48064.8702398545,
"AUS","AVWAGE","TOT","USD","A","2000",48213.0886758407,
"AUS","AVWAGE","TOT","USD","A","2001",48693.3022958347,
"AUS","AVWAGE","TOT","USD","A","2002",49140.6312919188,
"AUS","AVWAGE","TOT","USD","A","2003",49849.375153206,
"AUS","AVWAGE","TOT","USD","A","2004",51414.3183931236,
"AUS","AVWAGE","TOT","USD","A","2005",52013.9397458168,
"AUS","AVWAGE","TOT","USD","A","2006",52368,
"AUS","AVWAGE","TOT","USD","A","2007",53805,
"AUS","AVWAGE","TOT","USD","A","2008",54149,
"AUS","AVWAGE","TOT","USD","A","2009",53644,
"AUS","AVWAGE","TOT","USD","A","2010",55536,
"AUS","AVWAGE","TOT","USD","A","2011",57361,
"AUS","AVWAGE","TOT","USD","A","2012",57752,
"AUS","AVWAGE","TOT","USD","A","2013",57579,
"AUS","AVWAGE","TOT","USD","A","2014",58102,
"AUS","AVWAGE","TOT","USD","A","2015",57744,
"AUS","AVWAGE","TOT","USD","A","2016",57885,
"AUS","AVWAGE","TOT","USD","A","2017",57619,
"AUS","AVWAGE","TOT","USD","A","2018",57843,
"AUS","AVWAGE","TOT","USD","A","2019",58620,
"AUS","AVWAGE","TOT","USD","A","2020",60377,
"AUS","AVWAGE","TOT","USD","A","2021",60681.4985470798,
"AUS","AVWAGE","TOT","USD","A","2022",59407.8899794982,
"AUT","AVWAGE","TOT","USD","A","1991",52697.396613846,
"AUT","AVWAGE","TOT","USD","A","1992",53759.0566496298,
"AUT","AVWAGE","TOT","USD","A","1993",54197.3697073466,
"AUT","AVWAGE","TOT","USD","A","1994",54743.42405879,
"AUT","AVWAGE","TOT","USD","A","1995",55184,
"AUT","AVWAGE","TOT","USD","A","1996",54819.6165178154,
"AUT","AVWAGE","TOT","USD","A","1997",54346.9450542579,
"AUT","AVWAGE","TOT","USD","A","1998",56101.1425172093,
"AUT","AVWAGE","TOT","USD","A","1999",57354.8995810643,
"AUT","AVWAGE","TOT","USD","A","2000",57529.017471462,
"AUT","AVWAGE","TOT","USD","A","2001",57344.6595639472,
"AUT","AVWAGE","TOT","USD","A","2002",58229.1677845208,
"AUT","AVWAGE","TOT","USD","A","2003",58368.8732080416,
"AUT","AVWAGE","TOT","USD","A","2004",59473.2547857365,
"AUT","AVWAGE","TOT","USD","A","2005",59801.3699326072,
"AUT","AVWAGE","TOT","USD","A","2006",60698,
"AUT","AVWAGE","TOT","USD","A","2007",61047,
"AUT","AVWAGE","TOT","USD","A","2008",62081,
"AUT","AVWAGE","TOT","USD","A","2009",63135,
"AUT","AVWAGE","TOT","USD","A","2010",62831,
"AUT","AVWAGE","TOT","USD","A","2011",62159,
"AUT","AVWAGE","TOT","USD","A","2012",62515,
"AUT","AVWAGE","TOT","USD","A","2013",62568,
"AUT","AVWAGE","TOT","USD","A","2014",62801,
"AUT","AVWAGE","TOT","USD","A","2015",63231,
"AUT","AVWAGE","TOT","USD","A","2016",63860,
"AUT","AVWAGE","TOT","USD","A","2017",63856,
"AUT","AVWAGE","TOT","USD","A","2018",64101,
"AUT","AVWAGE","TOT","USD","A","2019",64623,
"AUT","AVWAGE","TOT","USD","A","2020",64648,
"AUT","AVWAGE","TOT","USD","A","2021",65402.3162965476,
"AUT","AVWAGE","TOT","USD","A","2022",63801.6204977341,
"BEL","AVWAGE","TOT","USD","A","1991",53018.6391581166,
"BEL","AVWAGE","TOT","USD","A","1992",54718.7288916038,
"BEL","AVWAGE","TOT","USD","A","1993",55868.8318085494,
"BEL","AVWAGE","TOT","USD","A","1994",56952.7771137702,
"BEL","AVWAGE","TOT","USD","A","1995",56759,
"BEL","AVWAGE","TOT","USD","A","1996",57470.5568655042,
"BEL","AVWAGE","TOT","USD","A","1997",58203.3751399722,
"BEL","AVWAGE","TOT","USD","A","1998",58238.2834007068,
"BEL","AVWAGE","TOT","USD","A","1999",61484.4122133103,
"BEL","AVWAGE","TOT","USD","A","2000",60929.1405210416,
"BEL","AVWAGE","TOT","USD","A","2001",61114.8303582574,
"BEL","AVWAGE","TOT","USD","A","2002",62692.5857677577,
"BEL","AVWAGE","TOT","USD","A","2003",63066.2951835172,
"BEL","AVWAGE","TOT","USD","A","2004",62735.500110825,
"BEL","AVWAGE","TOT","USD","A","2005",62139.9483473314,
"BEL","AVWAGE","TOT","USD","A","2006",62562,
"BEL","AVWAGE","TOT","USD","A","2007",62446,
"BEL","AVWAGE","TOT","USD","A","2008",62715,
"BEL","AVWAGE","TOT","USD","A","2009",63590,
"BEL","AVWAGE","TOT","USD","A","2010",63295,
"BEL","AVWAGE","TOT","USD","A","2011",63944,
"BEL","AVWAGE","TOT","USD","A","2012",64461,
"BEL","AVWAGE","TOT","USD","A","2013",65099,
"BEL","AVWAGE","TOT","USD","A","2014",65461,
"BEL","AVWAGE","TOT","USD","A","2015",65017,
"BEL","AVWAGE","TOT","USD","A","2016",65157,
"BEL","AVWAGE","TOT","USD","A","2017",64700,
"BEL","AVWAGE","TOT","USD","A","2018",65083,
"BEL","AVWAGE","TOT","USD","A","2019",65700,
"BEL","AVWAGE","TOT","USD","A","2020",63677,
"BEL","AVWAGE","TOT","USD","A","2021",65520.8213051768,
"BEL","AVWAGE","TOT","USD","A","2022",64847.6238808182,
"CAN","AVWAGE","TOT","USD","A","1991",42426.3028473057,
"CAN","AVWAGE","TOT","USD","A","1992",43045.9007668797,
"CAN","AVWAGE","TOT","USD","A","1993",42952.7188935605,
"CAN","AVWAGE","TOT","USD","A","1994",42464.1758383079,
"CAN","AVWAGE","TOT","USD","A","1995",42369,
"CAN","AVWAGE","TOT","USD","A","1996",42745.0912504135,
"CAN","AVWAGE","TOT","USD","A","1997",44053.7666057661,
"CAN","AVWAGE","TOT","USD","A","1998",44793.2060093325,
"CAN","AVWAGE","TOT","USD","A","1999",45157.2301888622,
"CAN","AVWAGE","TOT","USD","A","2000",46526.3392846538,
"CAN","AVWAGE","TOT","USD","A","2001",46335.1849867502,
"CAN","AVWAGE","TOT","USD","A","2002",45961.5604238959,
"CAN","AVWAGE","TOT","USD","A","2003",45975.7501748327,
"CAN","AVWAGE","TOT","USD","A","2004",46969.1181742113,
"CAN","AVWAGE","TOT","USD","A","2005",48325.7446445807,
"CAN","AVWAGE","TOT","USD","A","2006",49797,
"CAN","AVWAGE","TOT","USD","A","2007",51127,
"CAN","AVWAGE","TOT","USD","A","2008",52025,
"CAN","AVWAGE","TOT","USD","A","2009",52363,
"CAN","AVWAGE","TOT","USD","A","2010",52457,
"CAN","AVWAGE","TOT","USD","A","2011",53088,
"CAN","AVWAGE","TOT","USD","A","2012",53717,
"CAN","AVWAGE","TOT","USD","A","2013",54286,
"CAN","AVWAGE","TOT","USD","A","2014",54995,
"CAN","AVWAGE","TOT","USD","A","2015",55400,
"CAN","AVWAGE","TOT","USD","A","2016",54350,
"CAN","AVWAGE","TOT","USD","A","2017",55122,
"CAN","AVWAGE","TOT","USD","A","2018",56083,
"CAN","AVWAGE","TOT","USD","A","2019",56370,
"CAN","AVWAGE","TOT","USD","A","2020",59160,
"CAN","AVWAGE","TOT","USD","A","2021",59568.7827892649,
"CAN","AVWAGE","TOT","USD","A","2022",59050.4072819159,
"CZE","AVWAGE","TOT","USD","A","1995",16612,
"CZE","AVWAGE","TOT","USD","A","1996",18320.9899572178,
"CZE","AVWAGE","TOT","USD","A","1997",18606.9390451609,
"CZE","AVWAGE","TOT","USD","A","1998",18603.8261309658,
"CZE","AVWAGE","TOT","USD","A","1999",19344.549319197,
"CZE","AVWAGE","TOT","USD","A","2000",20070.4824207018,
"CZE","AVWAGE","TOT","USD","A","2001",21105.6074778514,
"CZE","AVWAGE","TOT","USD","A","2002",22382.4226367986,
"CZE","AVWAGE","TOT","USD","A","2003",24089.0418754447,
"CZE","AVWAGE","TOT","USD","A","2004",25174.1038662057,
"CZE","AVWAGE","TOT","USD","A","2005",25914.0680590434,
"CZE","AVWAGE","TOT","USD","A","2006",26952,
"CZE","AVWAGE","TOT","USD","A","2007",27757,
"CZE","AVWAGE","TOT","USD","A","2008",27906,
"CZE","AVWAGE","TOT","USD","A","2009",27793,
"CZE","AVWAGE","TOT","USD","A","2010",28648,
"CZE","AVWAGE","TOT","USD","A","2011",28882,
"CZE","AVWAGE","TOT","USD","A","2012",28934,
"CZE","AVWAGE","TOT","USD","A","2013",28754,
"CZE","AVWAGE","TOT","USD","A","2014",29360,
"CZE","AVWAGE","TOT","USD","A","2015",30224,
"CZE","AVWAGE","TOT","USD","A","2016",31291,
"CZE","AVWAGE","TOT","USD","A","2017",32891,
"CZE","AVWAGE","TOT","USD","A","2018",34633,
"CZE","AVWAGE","TOT","USD","A","2019",36071,
"CZE","AVWAGE","TOT","USD","A","2020",35552,
"CZE","AVWAGE","TOT","USD","A","2021",36269.7079920766,
"CZE","AVWAGE","TOT","USD","A","2022",33475.5197359288,
"DNK","AVWAGE","TOT","USD","A","1991",47454.3120941348,
"DNK","AVWAGE","TOT","USD","A","1992",49053.2603836945,
"DNK","AVWAGE","TOT","USD","A","1993",49596.1068321572,
"DNK","AVWAGE","TOT","USD","A","1994",47871.6287216169,
"DNK","AVWAGE","TOT","USD","A","1995",48894,
"DNK","AVWAGE","TOT","USD","A","1996",49781.4447609201,
"DNK","AVWAGE","TOT","USD","A","1997",50577.4470700282,
"DNK","AVWAGE","TOT","USD","A","1998",51462.3353698433,
"DNK","AVWAGE","TOT","USD","A","1999",52066.9546693479,
"DNK","AVWAGE","TOT","USD","A","2000",52018.8800522512,
"DNK","AVWAGE","TOT","USD","A","2001",52328.6718586274,
"DNK","AVWAGE","TOT","USD","A","2002",53520.3282100163,
"DNK","AVWAGE","TOT","USD","A","2003",54841.2509195781,
"DNK","AVWAGE","TOT","USD","A","2004",56061.8068734798,
"DNK","AVWAGE","TOT","USD","A","2005",57030.2441996056,
"DNK","AVWAGE","TOT","USD","A","2006",57991,
"DNK","AVWAGE","TOT","USD","A","2007",58638,
"DNK","AVWAGE","TOT","USD","A","2008",59414,
"DNK","AVWAGE","TOT","USD","A","2009",60853,
"DNK","AVWAGE","TOT","USD","A","2010",61537,
"DNK","AVWAGE","TOT","USD","A","2011",61213,
"DNK","AVWAGE","TOT","USD","A","2012",61121,
"DNK","AVWAGE","TOT","USD","A","2013",61548,
"DNK","AVWAGE","TOT","USD","A","2014",62723,
"DNK","AVWAGE","TOT","USD","A","2015",63828,
"DNK","AVWAGE","TOT","USD","A","2016",63894,
"DNK","AVWAGE","TOT","USD","A","2017",64281,
"DNK","AVWAGE","TOT","USD","A","2018",64765,
"DNK","AVWAGE","TOT","USD","A","2019",65222,
"DNK","AVWAGE","TOT","USD","A","2020",66203,
"DNK","AVWAGE","TOT","USD","A","2021",66503.047789185,
"DNK","AVWAGE","TOT","USD","A","2022",64126.6516163185,
"FIN","AVWAGE","TOT","USD","A","1991",39306.7189611565,
"FIN","AVWAGE","TOT","USD","A","1992",38712.9528316483,
"FIN","AVWAGE","TOT","USD","A","1993",37357.3276241361,
"FIN","AVWAGE","TOT","USD","A","1994",37886.7819975668,
"FIN","AVWAGE","TOT","USD","A","1995",39377,
"FIN","AVWAGE","TOT","USD","A","1996",40279.3766434974,
"FIN","AVWAGE","TOT","USD","A","1997",40313.6913531232,
"FIN","AVWAGE","TOT","USD","A","1998",41377.9275913195,
"FIN","AVWAGE","TOT","USD","A","1999",42345.8186344546,
"FIN","AVWAGE","TOT","USD","A","2000",43072.8440388183,
"FIN","AVWAGE","TOT","USD","A","2001",43299.4123909012,
"FIN","AVWAGE","TOT","USD","A","2002",43532.0304782391,
"FIN","AVWAGE","TOT","USD","A","2003",44359.3512487637,
"FIN","AVWAGE","TOT","USD","A","2004",45807.9321965031,
"FIN","AVWAGE","TOT","USD","A","2005",46788.1461799057,
"FIN","AVWAGE","TOT","USD","A","2006",47757,
"FIN","AVWAGE","TOT","USD","A","2007",48395,
"FIN","AVWAGE","TOT","USD","A","2008",48809,
"FIN","AVWAGE","TOT","USD","A","2009",49229,
"FIN","AVWAGE","TOT","USD","A","2010",49911,
"FIN","AVWAGE","TOT","USD","A","2011",49925,
"FIN","AVWAGE","TOT","USD","A","2012",49965,
"FIN","AVWAGE","TOT","USD","A","2013",49465,
"FIN","AVWAGE","TOT","USD","A","2014",49449,
"FIN","AVWAGE","TOT","USD","A","2015",49836,
"FIN","AVWAGE","TOT","USD","A","2016",50274,
"FIN","AVWAGE","TOT","USD","A","2017",49985,
"FIN","AVWAGE","TOT","USD","A","2018",50354,
"FIN","AVWAGE","TOT","USD","A","2019",50873,
"FIN","AVWAGE","TOT","USD","A","2020",51092,
"FIN","AVWAGE","TOT","USD","A","2021",52785.319629001,
"FIN","AVWAGE","TOT","USD","A","2022",51835.873940956,
"FRA","AVWAGE","TOT","USD","A","1991",39638.5866732702,
"FRA","AVWAGE","TOT","USD","A","1992",40082.3511245436,
"FRA","AVWAGE","TOT","USD","A","1993",40543.7861592061,
"FRA","AVWAGE","TOT","USD","A","1994",40713.4688176485,
"FRA","AVWAGE","TOT","USD","A","1995",41318,
"FRA","AVWAGE","TOT","USD","A","1996",41440.2926728736,
"FRA","AVWAGE","TOT","USD","A","1997",41903.0054017408,
"FRA","AVWAGE","TOT","USD","A","1998",42550.4547074187,
"FRA","AVWAGE","TOT","USD","A","1999",43487.3872731446,
"FRA","AVWAGE","TOT","USD","A","2000",43694.3469153401,
"FRA","AVWAGE","TOT","USD","A","2001",43969.0308917905,
"FRA","AVWAGE","TOT","USD","A","2002",45155.6725802975,
"FRA","AVWAGE","TOT","USD","A","2003",45524.2259611956,
"FRA","AVWAGE","TOT","USD","A","2004",46266.4567927184,
"FRA","AVWAGE","TOT","USD","A","2005",46823.7930957185,
"FRA","AVWAGE","TOT","USD","A","2006",47347,
"FRA","AVWAGE","TOT","USD","A","2007",47520,
"FRA","AVWAGE","TOT","USD","A","2008",47429,
"FRA","AVWAGE","TOT","USD","A","2009",48938,
"FRA","AVWAGE","TOT","USD","A","2010",49926,
"FRA","AVWAGE","TOT","USD","A","2011",49836,
"FRA","AVWAGE","TOT","USD","A","2012",50159,
"FRA","AVWAGE","TOT","USD","A","2013",50581,
"FRA","AVWAGE","TOT","USD","A","2014",50929,
"FRA","AVWAGE","TOT","USD","A","2015",51415,
"FRA","AVWAGE","TOT","USD","A","2016",52010,
"FRA","AVWAGE","TOT","USD","A","2017",52732,
"FRA","AVWAGE","TOT","USD","A","2018",52664,
"FRA","AVWAGE","TOT","USD","A","2019",53172,
"FRA","AVWAGE","TOT","USD","A","2020",50550,
"FRA","AVWAGE","TOT","USD","A","2021",52542.1889164276,
"FRA","AVWAGE","TOT","USD","A","2022",52763.5938000769,
"DEU","AVWAGE","TOT","USD","A","1991",45193.2565126118,
"DEU","AVWAGE","TOT","USD","A","1992",47965.9727828687,
"DEU","AVWAGE","TOT","USD","A","1993",48281.8621513076,
"DEU","AVWAGE","TOT","USD","A","1994",48388.1191166808,
"DEU","AVWAGE","TOT","USD","A","1995",49414,
"DEU","AVWAGE","TOT","USD","A","1996",49981.5714478053,
"DEU","AVWAGE","TOT","USD","A","1997",49770.3659795712,
"DEU","AVWAGE","TOT","USD","A","1998",50379.9693201234,
"DEU","AVWAGE","TOT","USD","A","1999",51050.1047921484,
"DEU","AVWAGE","TOT","USD","A","2000",51344.1011892339,
"DEU","AVWAGE","TOT","USD","A","2001",51718.7971800958,
"DEU","AVWAGE","TOT","USD","A","2002",52022.6832334872,
"DEU","AVWAGE","TOT","USD","A","2003",52195.6100297449,
"DEU","AVWAGE","TOT","USD","A","2004",52188.8590123583,
"DEU","AVWAGE","TOT","USD","A","2005",52377.6526690875,
"DEU","AVWAGE","TOT","USD","A","2006",52367,
"DEU","AVWAGE","TOT","USD","A","2007",52208,
"DEU","AVWAGE","TOT","USD","A","2008",52442,
"DEU","AVWAGE","TOT","USD","A","2009",52453,
"DEU","AVWAGE","TOT","USD","A","2010",52912,
"DEU","AVWAGE","TOT","USD","A","2011",53980,
"DEU","AVWAGE","TOT","USD","A","2012",54699,
"DEU","AVWAGE","TOT","USD","A","2013",55215,
"DEU","AVWAGE","TOT","USD","A","2014",56141,
"DEU","AVWAGE","TOT","USD","A","2015",57431,
"DEU","AVWAGE","TOT","USD","A","2016",58311,
"DEU","AVWAGE","TOT","USD","A","2017",58924,
"DEU","AVWAGE","TOT","USD","A","2018",59750,
"DEU","AVWAGE","TOT","USD","A","2019",60732,
"DEU","AVWAGE","TOT","USD","A","2020",60309,
"DEU","AVWAGE","TOT","USD","A","2021",60291.2417705174,
"DEU","AVWAGE","TOT","USD","A","2022",58940.3277991669,
"GRC","AVWAGE","TOT","USD","A","1995",22800,
"GRC","AVWAGE","TOT","USD","A","1996",23037.0019385448,
"GRC","AVWAGE","TOT","USD","A","1997",25629.7454984439,
"GRC","AVWAGE","TOT","USD","A","1998",27749.3980110295,
"GRC","AVWAGE","TOT","USD","A","1999",28192.9225857666,
"GRC","AVWAGE","TOT","USD","A","2000",29797.165441595,
"GRC","AVWAGE","TOT","USD","A","2001",30798.6954470997,
"GRC","AVWAGE","TOT","USD","A","2002",33599.2385504155,
"GRC","AVWAGE","TOT","USD","A","2003",35079.2461712387,
"GRC","AVWAGE","TOT","USD","A","2004",35722.5698006753,
"GRC","AVWAGE","TOT","USD","A","2005",35603.3185012696,
"GRC","AVWAGE","TOT","USD","A","2006",36027,
"GRC","AVWAGE","TOT","USD","A","2007",36033,
"GRC","AVWAGE","TOT","USD","A","2008",35476,
"GRC","AVWAGE","TOT","USD","A","2009",37151,
"GRC","AVWAGE","TOT","USD","A","2010",35454,
"GRC","AVWAGE","TOT","USD","A","2011",33205,
"GRC","AVWAGE","TOT","USD","A","2012",31272,
"GRC","AVWAGE","TOT","USD","A","2013",29229,
"GRC","AVWAGE","TOT","USD","A","2014",29108,
"GRC","AVWAGE","TOT","USD","A","2015",29394,
"GRC","AVWAGE","TOT","USD","A","2016",28720,
"GRC","AVWAGE","TOT","USD","A","2017",28903,
"GRC","AVWAGE","TOT","USD","A","2018",27569,
"GRC","AVWAGE","TOT","USD","A","2019",27615,
"GRC","AVWAGE","TOT","USD","A","2020",27747,
"GRC","AVWAGE","TOT","USD","A","2021",27659.571732801,
"GRC","AVWAGE","TOT","USD","A","2022",25978.9792401445,
"HUN","AVWAGE","TOT","USD","A","1995",16319,
"HUN","AVWAGE","TOT","USD","A","1996",16325.1487138736,
"HUN","AVWAGE","TOT","USD","A","1997",16727.9991823116,
"HUN","AVWAGE","TOT","USD","A","1998",17103.6877120513,
"HUN","AVWAGE","TOT","USD","A","1999",17177.9527606513,
"HUN","AVWAGE","TOT","USD","A","2000",17968.8940022678,
"HUN","AVWAGE","TOT","USD","A","2001",19334.7387452338,
"HUN","AVWAGE","TOT","USD","A","2002",20301.1433924115,
"HUN","AVWAGE","TOT","USD","A","2003",21926.5131820765,
"HUN","AVWAGE","TOT","USD","A","2004",23457.6542846171,
"HUN","AVWAGE","TOT","USD","A","2005",24491.9448218096,
"HUN","AVWAGE","TOT","USD","A","2006",24969,
"HUN","AVWAGE","TOT","USD","A","2007",24783,
"HUN","AVWAGE","TOT","USD","A","2008",25128,
"HUN","AVWAGE","TOT","USD","A","2009",23692,
"HUN","AVWAGE","TOT","USD","A","2010",24005,
"HUN","AVWAGE","TOT","USD","A","2011",24316,
"HUN","AVWAGE","TOT","USD","A","2012",23506,
"HUN","AVWAGE","TOT","USD","A","2013",23266,
"HUN","AVWAGE","TOT","USD","A","2014",22961,
"HUN","AVWAGE","TOT","USD","A","2015",23140,
"HUN","AVWAGE","TOT","USD","A","2016",23349,
"HUN","AVWAGE","TOT","USD","A","2017",25038,
"HUN","AVWAGE","TOT","USD","A","2018",26265,
"HUN","AVWAGE","TOT","USD","A","2019",27140,
"HUN","AVWAGE","TOT","USD","A","2020",27588,
"HUN","AVWAGE","TOT","USD","A","2021",28462.42341444,
"HUN","AVWAGE","TOT","USD","A","2022",28474.6432386423,
"IRL","AVWAGE","TOT","USD","A","1991",30033.0971486061,
"IRL","AVWAGE","TOT","USD","A","1992",31284.5119214055,
"IRL","AVWAGE","TOT","USD","A","1993",32833.1074144844,
"IRL","AVWAGE","TOT","USD","A","1994",33047.4279704061,
"IRL","AVWAGE","TOT","USD","A","1995",33634,
"IRL","AVWAGE","TOT","USD","A","1996",34125.7156399135,
"IRL","AVWAGE","TOT","USD","A","1997",36047.5490927048,
"IRL","AVWAGE","TOT","USD","A","1998",36168.1761562976,
"IRL","AVWAGE","TOT","USD","A","1999",36975.7921315167,
"IRL","AVWAGE","TOT","USD","A","2000",37873.9303720957,
"IRL","AVWAGE","TOT","USD","A","2001",39371.6694404916,
"IRL","AVWAGE","TOT","USD","A","2002",39798.9182326962,
"IRL","AVWAGE","TOT","USD","A","2003",41094.8694450715,
"IRL","AVWAGE","TOT","USD","A","2004",42554.2963138954,
"IRL","AVWAGE","TOT","USD","A","2005",44330.0256538471,
"IRL","AVWAGE","TOT","USD","A","2006",44703,
"IRL","AVWAGE","TOT","USD","A","2007",45969,
"IRL","AVWAGE","TOT","USD","A","2008",48089,
"IRL","AVWAGE","TOT","USD","A","2009",52639,
"IRL","AVWAGE","TOT","USD","A","2010",52793,
"IRL","AVWAGE","TOT","USD","A","2011",52035,
"IRL","AVWAGE","TOT","USD","A","2012",51578,
"IRL","AVWAGE","TOT","USD","A","2013",50323,
"IRL","AVWAGE","TOT","USD","A","2014",50080,
"IRL","AVWAGE","TOT","USD","A","2015",50079,
"IRL","AVWAGE","TOT","USD","A","2016",50593,
"IRL","AVWAGE","TOT","USD","A","2017",51180,
"IRL","AVWAGE","TOT","USD","A","2018",51852,
"IRL","AVWAGE","TOT","USD","A","2019",52648,
"IRL","AVWAGE","TOT","USD","A","2020",53651,
"IRL","AVWAGE","TOT","USD","A","2021",53209.4763980234,
"IRL","AVWAGE","TOT","USD","A","2022",52242.6173957582,
"ITA","AVWAGE","TOT","USD","A","1991",45341.6924839904,
"ITA","AVWAGE","TOT","USD","A","1992",45297.7967314745,
"ITA","AVWAGE","TOT","USD","A","1993",44600.0611347024,
"ITA","AVWAGE","TOT","USD","A","1994",44022.5145584468,
"ITA","AVWAGE","TOT","USD","A","1995",43059,
"ITA","AVWAGE","TOT","USD","A","1996",43400.6986175188,
"ITA","AVWAGE","TOT","USD","A","1997",44646.6967622974,
"ITA","AVWAGE","TOT","USD","A","1998",44793.692430885,
"ITA","AVWAGE","TOT","USD","A","1999",45305.3326437474,
"ITA","AVWAGE","TOT","USD","A","2000",45289.5844590666,
"ITA","AVWAGE","TOT","USD","A","2001",45612.8435475867,
"ITA","AVWAGE","TOT","USD","A","2002",45290.1008837137,
"ITA","AVWAGE","TOT","USD","A","2003",45168.0093629472,
"ITA","AVWAGE","TOT","USD","A","2004",46032.2578746232,
"ITA","AVWAGE","TOT","USD","A","2005",46654.2474791671,
